TH,1.00E+11,3.55E-02
HE,8.67E+10,3.07E-02
IN,6.86E+10,2.43E-02
ER,5.78E+10,2.05E-02
AN,5.60E+10,1.99E-02
RE,5.23E+10,1.85E-02
ON,4.96E+10,1.76E-02
AT,4.19E+10,1.49E-02
EN,4.10E+10,1.45E-02
ND,3.81E+10,1.35E-02
TI,3.79E+10,1.34E-02
ES,3.78E+10,1.34E-02
OR,3.60E+10,1.28E-02
TE,3.40E+10,1.21E-02
OF,3.31E+10,1.17E-02
ED,3.29E+10,1.17E-02
IS,3.18E+10,1.13E-02
IT,3.17E+10,1.12E-02
AL,3.07E+10,1.09E-02
AR,3.03E+10,1.07E-02
ST,2.97E+10,1.05E-02
TO,2.94E+10,1.04E-02
NT,2.94E+10,1.04E-02
NG,2.69E+10,9.54E-03
SE,2.63E+10,9.33E-03
HA,2.61E+10,9.26E-03
AS,2.46E+10,8.72E-03
OU,2.45E+10,8.69E-03
IO,2.35E+10,8.33E-03
LE,2.34E+10,8.30E-03
VE,2.33E+10,8.26E-03
CO,2.24E+10,7.94E-03
ME,2.24E+10,7.94E-03
DE,2.16E+10,7.66E-03
HI,2.15E+10,7.62E-03
RI,2.05E+10,7.27E-03
RO,2.05E+10,7.27E-03
IC,1.97E+10,6.99E-03
NE,1.95E+10,6.92E-03
EA,1.94E+10,6.88E-03
RA,1.93E+10,6.84E-03
CE,1.84E+10,6.52E-03
LI,1.76E+10,6.24E-03
CH,1.69E+10,5.99E-03
LL,1.63E+10,5.78E-03
BE,1.62E+10,5.74E-03
MA,1.59E+10,5.64E-03
SI,1.55E+10,5.50E-03
OM,1.54E+10,5.46E-03
UR,1.53E+10,5.43E-03
CA,1.52E+10,5.39E-03
EL,1.50E+10,5.32E-03
TA,1.49E+10,5.28E-03
LA,1.49E+10,5.28E-03
NS,1.44E+10,5.11E-03
DI,1.39E+10,4.93E-03
FO,1.38E+10,4.89E-03
HO,1.37E+10,4.86E-03
PE,1.35E+10,4.79E-03
EC,1.35E+10,4.79E-03
PR,1.34E+10,4.75E-03
NO,1.31E+10,4.65E-03
CT,1.30E+10,4.61E-03
US,1.28E+10,4.54E-03
AC,1.26E+10,4.47E-03
OT,1.25E+10,4.43E-03
IL,1.22E+10,4.33E-03
TR,1.20E+10,4.26E-03
LY,1.20E+10,4.26E-03
NC,1.17E+10,4.15E-03
ET,1.16E+10,4.11E-03
UT,1.14E+10,4.04E-03
SS,1.14E+10,4.04E-03
SO,1.12E+10,3.97E-03
RS,1.12E+10,3.97E-03
UN,1.11E+10,3.94E-03
LO,1.09E+10,3.87E-03
WA,1.09E+10,3.87E-03
GE,1.09E+10,3.87E-03
IE,1.08E+10,3.83E-03
WH,1.07E+10,3.79E-03
EE,1.06E+10,3.76E-03
WI,1.06E+10,3.76E-03
EM,1.05E+10,3.72E-03
AD,1.04E+10,3.69E-03
OL,1.03E+10,3.65E-03
RT,1.02E+10,3.62E-03
PO,1.02E+10,3.62E-03
WE,1.02E+10,3.62E-03
NA,9.79E+09,3.47E-03
UL,9.75E+09,3.46E-03
NI,9.56E+09,3.39E-03
TS,9.52E+09,3.38E-03
MO,9.50E+09,3.37E-03
OW,9.32E+09,3.31E-03
PA,9.12E+09,3.23E-03
IM,8.96E+09,3.18E-03
MI,8.96E+09,3.18E-03
AI,8.92E+09,3.16E-03
SH,8.89E+09,3.15E-03
IR,8.89E+09,3.15E-03
SU,8.77E+09,3.11E-03
ID,8.33E+09,2.95E-03
OS,8.18E+09,2.90E-03
IV,8.12E+09,2.88E-03
IA,8.07E+09,2.86E-03
AM,8.03E+09,2.85E-03
FI,8.02E+09,2.84E-03
CI,7.94E+09,2.82E-03
VI,7.60E+09,2.70E-03
PL,7.42E+09,2.63E-03
IG,7.19E+09,2.55E-03
TU,7.19E+09,2.55E-03
EV,7.18E+09,2.55E-03
LD,7.12E+09,2.52E-03
RY,6.99E+09,2.48E-03
MP,6.74E+09,2.39E-03
FE,6.67E+09,2.37E-03
BL,6.58E+09,2.33E-03
AB,6.48E+09,2.30E-03
GH,6.41E+09,2.27E-03
TY,6.41E+09,2.27E-03
OP,6.31E+09,2.24E-03
WO,6.25E+09,2.22E-03
SA,6.15E+09,2.18E-03
AY,6.13E+09,2.17E-03
EX,6.04E+09,2.14E-03
KE,6.03E+09,2.14E-03
FR,6.01E+09,2.13E-03
OO,5.93E+09,2.10E-03
AV,5.78E+09,2.05E-03
AG,5.77E+09,2.05E-03
IF,5.73E+09,2.03E-03
AP,5.72E+09,2.03E-03
GR,5.55E+09,1.97E-03
OD,5.51E+09,1.95E-03
BO,5.51E+09,1.95E-03
SP,5.39E+09,1.91E-03
RD,5.34E+09,1.89E-03
DO,5.31E+09,1.88E-03
UC,5.29E+09,1.88E-03
BU,5.21E+09,1.85E-03
EI,5.17E+09,1.83E-03
OV,5.02E+09,1.78E-03
BY,4.98E+09,1.77E-03
RM,4.94E+09,1.75E-03
EP,4.84E+09,1.72E-03
TT,4.81E+09,1.71E-03
OC,4.69E+09,1.66E-03
FA,4.62E+09,1.64E-03
EF,4.59E+09,1.63E-03
CU,4.59E+09,1.63E-03
RN,4.52E+09,1.60E-03
SC,4.36E+09,1.55E-03
GI,4.28E+09,1.52E-03
DA,4.26E+09,1.51E-03
YO,4.23E+09,1.50E-03
CR,4.21E+09,1.49E-03
CL,4.20E+09,1.49E-03
DU,4.19E+09,1.49E-03
GA,4.18E+09,1.48E-03
QU,4.16E+09,1.48E-03
UE,4.16E+09,1.48E-03
FF,4.13E+09,1.46E-03
BA,4.12E+09,1.46E-03
EY,4.05E+09,1.44E-03
LS,3.99E+09,1.41E-03
VA,3.95E+09,1.40E-03
UM,3.90E+09,1.38E-03
PP,3.85E+09,1.37E-03
UA,3.84E+09,1.36E-03
UP,3.84E+09,1.36E-03
LU,3.81E+09,1.35E-03
GO,3.73E+09,1.32E-03
HT,3.67E+09,1.30E-03
RU,3.62E+09,1.28E-03
UG,3.61E+09,1.28E-03
DS,3.56E+09,1.26E-03
LT,3.49E+09,1.24E-03
PI,3.47E+09,1.23E-03
RC,3.42E+09,1.21E-03
RR,3.40E+09,1.21E-03
EG,3.37E+09,1.20E-03
AU,3.36E+09,1.19E-03
CK,3.32E+09,1.18E-03
EW,3.29E+09,1.17E-03
MU,3.23E+09,1.15E-03
BR,3.15E+09,1.12E-03
BI,3.01E+09,1.07E-03
PT,2.98E+09,1.06E-03
AK,2.95E+09,1.05E-03
PU,2.95E+09,1.05E-03
UI,2.85E+09,1.01E-03
RG,2.81E+09,9.96E-04
IB,2.78E+09,9.86E-04
TL,2.78E+09,9.86E-04
NY,2.76E+09,9.79E-04
KI,2.76E+09,9.79E-04
RK,2.74E+09,9.72E-04
YS,2.73E+09,9.68E-04
OB,2.73E+09,9.68E-04
MM,2.71E+09,9.61E-04
FU,2.71E+09,9.61E-04
PH,2.66E+09,9.43E-04
OG,2.65E+09,9.40E-04
MS,2.62E+09,9.29E-04
YE,2.61E+09,9.26E-04
UD,2.58E+09,9.15E-04
MB,2.54E+09,9.01E-04
IP,2.52E+09,8.94E-04
UB,2.50E+09,8.87E-04
OI,2.47E+09,8.76E-04
RL,2.43E+09,8.62E-04
GU,2.42E+09,8.58E-04
DR,2.41E+09,8.55E-04
HR,2.38E+09,8.44E-04
CC,2.34E+09,8.30E-04
TW,2.32E+09,8.23E-04
FT,2.30E+09,8.16E-04
WN,2.23E+09,7.91E-04
NU,2.22E+09,7.87E-04
AF,2.09E+09,7.41E-04
HU,2.08E+09,7.38E-04
NN,2.05E+09,7.27E-04
EO,2.04E+09,7.23E-04
VO,2.00E+09,7.09E-04
RV,1.95E+09,6.92E-04
NF,1.89E+09,6.70E-04
XP,1.89E+09,6.70E-04
GN,1.85E+09,6.56E-04
SM,1.84E+09,6.52E-04
FL,1.83E+09,6.49E-04
IZ,1.81E+09,6.42E-04
OK,1.81E+09,6.42E-04
NL,1.80E+09,6.38E-04
MY,1.75E+09,6.21E-04
GL,1.71E+09,6.06E-04
AW,1.69E+09,5.99E-04
JU,1.66E+09,5.89E-04
OA,1.62E+09,5.74E-04
EQ,1.61E+09,5.71E-04
SY,1.60E+09,5.67E-04
SL,1.58E+09,5.60E-04
PS,1.54E+09,5.46E-04
JO,1.52E+09,5.39E-04
LF,1.51E+09,5.35E-04
NV,1.47E+09,5.21E-04
JE,1.46E+09,5.18E-04
NK,1.46E+09,5.18E-04
KN,1.45E+09,5.14E-04
GS,1.44E+09,5.11E-04
DY,1.42E+09,5.04E-04
HY,1.41E+09,5.00E-04
ZE,1.40E+09,4.96E-04
KS,1.34E+09,4.75E-04
XT,1.32E+09,4.68E-04
BS,1.29E+09,4.57E-04
IK,1.21E+09,4.29E-04
DD,1.21E+09,4.29E-04
CY,1.18E+09,4.18E-04
RP,1.17E+09,4.15E-04
SK,1.11E+09,3.94E-04
XI,1.11E+09,3.94E-04
OE,1.09E+09,3.87E-04
OY,1.02E+09,3.62E-04
WS,9.89E+08,3.51E-04
LV,9.84E+08,3.49E-04
DL,9.12E+08,3.23E-04
RF,9.10E+08,3.23E-04
EU,8.78E+08,3.11E-04
DG,8.74E+08,3.10E-04
WR,8.67E+08,3.07E-04
XA,8.35E+08,2.96E-04
YI,8.13E+08,2.88E-04
NM,7.82E+08,2.77E-04
EB,7.63E+08,2.71E-04
RB,7.53E+08,2.67E-04
TM,7.47E+08,2.65E-04
XC,7.46E+08,2.65E-04
EH,7.42E+08,2.63E-04
TC,7.37E+08,2.61E-04
GY,7.31E+08,2.59E-04
JA,7.29E+08,2.59E-04
HN,7.26E+08,2.57E-04
YP,7.02E+08,2.49E-04
ZA,7.02E+08,2.49E-04
GG,6.98E+08,2.48E-04
YM,6.68E+08,2.37E-04
SW,6.63E+08,2.35E-04
BJ,6.55E+08,2.32E-04
LM,6.49E+08,2.30E-04
CS,6.44E+08,2.28E-04
II,6.42E+08,2.28E-04
IX,6.21E+08,2.20E-04
XE,6.15E+08,2.18E-04
OH,6.02E+08,2.13E-04
LK,5.56E+08,1.97E-04
DV,5.37E+08,1.90E-04
LP,5.37E+08,1.90E-04
AX,5.31E+08,1.88E-04
OX,5.24E+08,1.86E-04
UF,5.23E+08,1.85E-04
DM,5.13E+08,1.82E-04
IU,4.91E+08,1.74E-04
SF,4.84E+08,1.72E-04
BT,4.82E+08,1.71E-04
KA,4.78E+08,1.70E-04
YT,4.70E+08,1.67E-04
EK,4.64E+08,1.65E-04
PM,4.50E+08,1.60E-04
YA,4.45E+08,1.58E-04
GT,4.34E+08,1.54E-04
WL,4.29E+08,1.52E-04
RH,4.26E+08,1.51E-04
YL,4.16E+08,1.48E-04
HS,4.14E+08,1.47E-04
AH,3.85E+08,1.37E-04
YC,3.81E+08,1.35E-04
YN,3.73E+08,1.32E-04
RW,3.60E+08,1.28E-04
HM,3.59E+08,1.27E-04
LW,3.56E+08,1.26E-04
HL,3.55E+08,1.26E-04
AE,3.50E+08,1.24E-04
ZI,3.42E+08,1.21E-04
AZ,3.35E+08,1.19E-04
LC,3.33E+08,1.18E-04
PY,3.32E+08,1.18E-04
AJ,3.31E+08,1.17E-04
IQ,3.19E+08,1.13E-04
NJ,3.13E+08,1.11E-04
BB,3.08E+08,1.09E-04
NH,3.07E+08,1.09E-04
UO,3.00E+08,1.06E-04
KL,2.98E+08,1.06E-04
LR,2.83E+08,1.00E-04
TN,2.82E+08,1.00E-04
GM,2.78E+08,9.86E-05
SN,2.59E+08,9.18E-05
NR,2.58E+08,9.15E-05
FY,2.57E+08,9.11E-05
MN,2.48E+08,8.79E-05
DW,2.30E+08,8.16E-05
SB,2.23E+08,7.91E-05
YR,2.20E+08,7.80E-05
DN,2.13E+08,7.55E-05
SQ,2.10E+08,7.45E-05
ZO,2.02E+08,7.16E-05
OJ,1.97E+08,6.99E-05
YD,1.92E+08,6.81E-05
LB,1.89E+08,6.70E-05
WT,1.84E+08,6.52E-05
LG,1.72E+08,6.10E-05
KO,1.71E+08,6.06E-05
NP,1.70E+08,6.03E-05
SR,1.69E+08,5.99E-05
NQ,1.68E+08,5.96E-05
KY,1.68E+08,5.96E-05
LN,1.66E+08,5.89E-05
NW,1.63E+08,5.78E-05
TF,1.60E+08,5.67E-05
FS,1.55E+08,5.50E-05
CQ,1.54E+08,5.46E-05
DH,1.53E+08,5.43E-05
SD,1.48E+08,5.25E-05
VY,1.38E+08,4.89E-05
DJ,1.35E+08,4.79E-05
HW,1.35E+08,4.79E-05
XU,1.35E+08,4.79E-05
AO,1.30E+08,4.61E-05
ML,1.30E+08,4.61E-05
UK,1.30E+08,4.61E-05
UY,1.29E+08,4.57E-05
EJ,1.28E+08,4.54E-05
EZ,1.28E+08,4.54E-05
HB,1.24E+08,4.40E-05
NZ,1.23E+08,4.36E-05
NB,1.22E+08,4.33E-05
MC,1.22E+08,4.33E-05
YB,1.21E+08,4.29E-05
TP,1.21E+08,4.29E-05
XH,1.18E+08,4.18E-05
UX,1.11E+08,3.94E-05
TZ,1.09E+08,3.87E-05
BV,1.08E+08,3.83E-05
MF,1.08E+08,3.83E-05
WD,99767462,3.54E-05
OZ,97904996,3.47E-05
YW,95070267,3.37E-05
KH,89811517,3.18E-05
GD,89087728,3.16E-05
BM,88228719,3.13E-05
MR,87580303,3.11E-05
KU,85313841,3.03E-05
UV,82252351,2.92E-05
DT,81648332,2.90E-05
HD,80544316,2.86E-05
AA,79794787,2.83E-05
XX,79068246,2.80E-05
DF,78347492,2.78E-05
DB,78190243,2.77E-05
JI,77899882,2.76E-05
KR,76743394,2.72E-05
XO,76097183,2.70E-05
CM,75144874,2.66E-05
ZZ,75012595,2.66E-05
NX,73899576,2.62E-05
YG,73102462,2.59E-05
XY,72645837,2.58E-05
KG,72267691,2.56E-05
TB,71746167,2.54E-05
DC,71030077,2.52E-05
BD,69761165,2.47E-05
SG,69588685,2.47E-05
WY,68368953,2.42E-05
ZY,66473188,2.36E-05
AQ,63283982,2.24E-05
HF,63249924,2.24E-05
CD,62905910,2.23E-05
VU,62384927,2.21E-05
KW,61416538,2.18E-05
ZU,60692846,2.15E-05
BN,59062122,2.09E-05
IH,58966344,2.09E-05
TG,55522877,1.97E-05
XV,55076715,1.95E-05
UZ,53873803,1.91E-05
BC,53278096,1.89E-05
XF,52374239,1.86E-05
YZ,51097953,1.81E-05
KM,50449220,1.79E-05
DP,48855638,1.73E-05
LH,45643026,1.62E-05
WF,45330551,1.61E-05
KF,44759608,1.59E-05
PF,41022263,1.45E-05
CF,39704311,1.41E-05
MT,38538709,1.37E-05
YU,37436235,1.33E-05
CP,37067423,1.31E-05
PB,36901495,1.31E-05
TD,36539510,1.30E-05
ZL,35456851,1.26E-05
SV,35005005,1.24E-05
HC,34631551,1.23E-05
MG,34537023,1.22E-05
PW,34037460,1.21E-05
GF,33962536,1.20E-05
PD,33798376,1.20E-05
PN,33536129,1.19E-05
PC,33156666,1.18E-05
RX,32990613,1.17E-05
TV,32805751,1.16E-05
IJ,31324465,1.11E-05
WM,30732232,1.09E-05
UH,30097154,1.07E-05
WK,30095733,1.07E-05
WB,29929113,1.06E-05
BH,29797934,1.06E-05
OQ,29227658,1.04E-05
KT,29132180,1.03E-05
RQ,28152573,9.98E-06
KB,25406204,9.01E-06
CG,24975673,8.86E-06
VR,24701238,8.76E-06
CN,24249641,8.60E-06
PK,23099462,8.19E-06
UU,22006895,7.80E-06
YF,21246637,7.53E-06
WP,20982546,7.44E-06
CZ,20601701,7.31E-06
KP,20492678,7.27E-06
DQ,19927900,7.07E-06
WU,19601657,6.95E-06
FM,19340776,6.86E-06
WC,19008254,6.74E-06
MD,18929019,6.71E-06
KD,18894758,6.70E-06
ZH,18782710,6.66E-06
GW,18260884,6.48E-06
RZ,17993128,6.38E-06
CB,17751935,6.30E-06
IW,17611969,6.25E-06
XL,16728256,5.93E-06
HP,16696129,5.92E-06
MW,16465357,5.84E-06
VS,16263248,5.77E-06
FC,16254390,5.76E-06
RJ,15598009,5.53E-06
BP,15427250,5.47E-06
MH,15033898,5.33E-06
HH,14730425,5.22E-06
YH,14682887,5.21E-06
UJ,14548024,5.16E-06
FG,14424524,5.12E-06
FD,13966832,4.95E-06
GB,13944852,4.95E-06
PG,13354952,4.74E-06
TK,13081991,4.64E-06
KK,12782664,4.53E-06
HQ,11925353,4.23E-06
FN,11823066,4.19E-06
LZ,11767790,4.17E-06
VL,11621019,4.12E-06
GP,11612944,4.12E-06
HZ,10729982,3.81E-06
DK,9494027,3.37E-06
YK,9292584,3.30E-06
QI,8954617,3.18E-06
LX,8612462,3.05E-06
VD,8430332,2.99E-06
ZS,8395904,2.98E-06
BW,8319869,2.95E-06
XQ,8225536,2.92E-06
MV,8172535,2.90E-06
UW,7824504,2.77E-06
HG,7789748,2.76E-06
FB,7730842,2.74E-06
SJ,7621847,2.70E-06
WW,7377619,2.62E-06
GK,7338894,2.60E-06
UQ,7235727,2.57E-06
BG,7203255,2.55E-06
SZ,7041052,2.50E-06
JR,6846578,2.43E-06
QL,6708919,2.38E-06
ZT,6627349,2.35E-06
HK,6595610,2.34E-06
VC,6570845,2.33E-06
XM,6569222,2.33E-06
GC,6455066,2.29E-06
FW,6451511,2.29E-06
PZ,6382200,2.26E-06
KC,6326022,2.24E-06
HV,6292998,2.23E-06
XW,6292525,2.23E-06
ZW,6279286,2.23E-06
FP,6262895,2.22E-06
IY,6247588,2.22E-06
PV,6222096,2.21E-06
VT,6181932,2.19E-06
JP,6129447,2.17E-06
CV,5869407,2.08E-06
ZB,5858211,2.08E-06
VP,5510046,1.95E-06
ZR,5320518,1.89E-06
FH,5166165,1.83E-06
YV,5115763,1.81E-06
ZG,4726653,1.68E-06
ZM,4713608,1.67E-06
ZV,4618705,1.64E-06
QS,4448602,1.58E-06
KV,4414960,1.57E-06
VN,4317772,1.53E-06
ZN,4300522,1.53E-06
QA,4298294,1.52E-06
YX,4211192,1.49E-06
JN,4150888,1.47E-06
BF,4108696,1.46E-06
MK,3956883,1.40E-06
CW,3909223,1.39E-06
JM,3659540,1.30E-06
LQ,3582930,1.27E-06
JH,3541869,1.26E-06
KJ,3471162,1.23E-06
JC,3447571,1.22E-06
GZ,3431194,1.22E-06
JS,3329038,1.18E-06
TX,3328898,1.18E-06
FK,3293208,1.17E-06
JL,3192327,1.13E-06
VM,3178223,1.13E-06
LJ,3169833,1.12E-06
TJ,3169658,1.12E-06
JJ,2979950,1.06E-06
CJ,2962048,1.05E-06
VG,2960268,1.05E-06
MJ,2923325,1.04E-06
JT,2917850,1.03E-06
PJ,2810773,9.97E-07
WG,2751783,9.76E-07
VH,2691078,9.54E-07
BK,2639491,9.36E-07
VV,2622571,9.30E-07
JD,2615147,9.27E-07
TQ,2517400,8.93E-07
VB,2496014,8.85E-07
JF,2421784,8.59E-07
DZ,2200704,7.80E-07
XB,2164724,7.68E-07
JB,2126115,7.54E-07
ZC,2100797,7.45E-07
FJ,2065436,7.32E-07
YY,1993017,7.07E-07
QN,1859810,6.60E-07
XS,1804740,6.40E-07
QR,1744325,6.19E-07
JK,1740133,6.17E-07
JV,1719726,6.10E-07
QQ,1712219,6.07E-07
XN,1613611,5.72E-07
VF,1550317,5.50E-07
PX,1473468,5.23E-07
ZD,1415016,5.02E-07
QT,1385505,4.91E-07
ZP,1361846,4.83E-07
QO,1324363,4.70E-07
DX,1296277,4.60E-07
HJ,1282370,4.55E-07
GV,1192366,4.23E-07
JW,1165914,4.13E-07
QC,1127399,4.00E-07
JY,1120221,3.97E-07
GJ,1093028,3.88E-07
QB,1083443,3.84E-07
PQ,1075049,3.81E-07
JG,1034900,3.67E-07
BZ,1007374,3.57E-07
MX,994334,3.53E-07
QM,989868,3.51E-07
MZ,970282,3.44E-07
QF,947879,3.36E-07
WJ,914179,3.24E-07
ZQ,913036,3.24E-07
XR,907409,3.22E-07
ZK,906537,3.21E-07
CX,876736,3.11E-07
FX,812116,2.88E-07
FV,807297,2.86E-07
BX,778622,2.76E-07
VW,742188,2.63E-07
VJ,724370,2.57E-07
MQ,708424,2.51E-07
QV,635514,2.25E-07
ZF,608389,2.16E-07
QE,572443,2.03E-07
YJ,561334,1.99E-07
GX,557030,1.98E-07
KX,555422,1.97E-07
XG,542548,1.92E-07
QD,519921,1.84E-07
XJ,511074,1.81E-07
SX,503772,1.79E-07
VZ,501189,1.78E-07
VX,449854,1.60E-07
WV,389123,1.38E-07
YQ,384882,1.36E-07
BQ,346506,1.23E-07
GQ,345624,1.23E-07
VK,337545,1.20E-07
ZJ,309029,1.10E-07
XK,281255,9.97E-08
QP,272180,9.65E-08
HX,263997,9.36E-08
FZ,263860,9.36E-08
QH,263509,9.34E-08
QJ,236928,8.40E-08
JZ,220675,7.83E-08
VQ,212856,7.55E-08
KQ,187242,6.64E-08
XD,168263,5.97E-08
QW,163292,5.79E-08
JX,161750,5.74E-08
QX,159505,5.66E-08
KZ,150760,5.35E-08
WX,150637,5.34E-08
FQ,149430,5.30E-08
XZ,136521,4.84E-08
ZX,108224,3.84E-08